Codice Prodotto,Nome Prodotto,Categoria,Prezzo
P01476,Prime Elettrodomestici 246,Elettrodomestici,1837.98
P01477,Air Arredamento 497,Arredamento,989.9
P01478,Smart Automotive 127,Automotive,1155.41
P01479,Max Giochi 400,Giochi,1288.45
P01480,Plus Bellezza 985,Bellezza,1274.22
P01481,Plus Elettrodomestici 604,Elettrodomestici,107.54
P01482,Smart Automotive 924,Automotive,1158.68
P01483,Smart Elettrodomestici 769,Elettrodomestici,857.48
P01484,Air Automotive 242,Automotive,892.69
P01485,Air Sport 864,Sport,998.16
P01486,Mini Arredamento 453,Arredamento,1379.78
P01487,Prime Giochi 410,Giochi,1681.47
P01488,Prime Giardinaggio 220,Giardinaggio,943.34
P01489,Prime Sport 787,Sport,1894.63
P01490,Pro Informatica 94,Informatica,997.21
P01491,Air Elettrodomestici 871,Elettrodomestici,1641.91
P01492,Pro Informatica 302,Informatica,829.59
P01493,Eco Informatica 815,Informatica,100.04
P01494,Mini Giardinaggio 524,Giardinaggio,590.82
P01495,Lite Sport 310,Sport,1094.81
P01496,Mini Informatica 35,Informatica,785.38
P01497,Pro Automotive 788,Automotive,574.68
P01498,Smart Elettrodomestici 659,Elettrodomestici,1197.24
P01499,Prime Informatica 912,Informatica,1975.38
P01500,Max Elettrodomestici 420,Elettrodomestici,436.82
P01501,Ultra Bellezza 450,Bellezza,603.95
P01502,Pro Informatica 867,Informatica,1544.37
P01503,Eco Giochi 318,Giochi,1684.03
P01504,Mini Abbigliamento 597,Abbigliamento,1274.42
P01505,Prime Informatica 892,Informatica,83.6
P01506,Prime Telefonia 615,Telefonia,322.2
P01507,Max Automotive 39,Automotive,6.84
P01508,Smart Giardinaggio 693,Giardinaggio,677.3
P01509,Plus Informatica 905,Informatica,1388.89
P01510,Eco Giochi 302,Giochi,186.9
P01511,Lite Telefonia 960,Telefonia,374.19
P01512,Lite Giochi 327,Giochi,1881.83
P01513,Air Bellezza 314,Bellezza,652.81
P01514,Pro Telefonia 588,Telefonia,409.66
P01515,Pro Automotive 253,Automotive,564.69
P01516,Ultra Bellezza 82,Bellezza,701.73
P01517,Prime Informatica 937,Informatica,1385.28
P01518,Max Bellezza 998,Bellezza,1915.7
P01519,Prime Bellezza 824,Bellezza,1005.74
P01520,Lite Giardinaggio 543,Giardinaggio,1337.85
P01521,Prime Giardinaggio 77,Giardinaggio,132.16
P01522,Smart Arredamento 503,Arredamento,1658.49
P01523,Smart Bellezza 824,Bellezza,1393.73
P01524,Prime Abbigliamento 207,Abbigliamento,48.03
P01525,Pro Sport 953,Sport,1626.93
P01526,Plus Telefonia 434,Telefonia,224.37
P01527,Plus Elettrodomestici 330,Elettrodomestici,910.5
P01528,Prime Giochi 916,Giochi,844.82
P01529,Lite Automotive 760,Automotive,323.17
P01530,Ultra Giochi 904,Giochi,1486.84
P01531,Max Informatica 885,Informatica,1197.14
P01532,Plus Abbigliamento 566,Abbigliamento,1276.83
P01533,Plus Arredamento 427,Arredamento,112.27
P01534,Smart Automotive 320,Automotive,1421.31
P01535,Lite Informatica 717,Informatica,624.52
P01536,Ultra Giochi 302,Giochi,280.39
P01537,Mini Telefonia 954,Telefonia,434.54
P01538,Plus Telefonia 149,Telefonia,794.06
P01539,Prime Automotive 633,Automotive,1387.82
P01540,Prime Giochi 334,Giochi,203.38
P01541,Max Giardinaggio 861,Giardinaggio,930.76
P01542,Lite Automotive 999,Automotive,1360.39
P01543,Ultra Elettrodomestici 499,Elettrodomestici,483.96
P01544,Air Elettrodomestici 939,Elettrodomestici,507.7
P01545,Max Giochi 14,Giochi,973.25
P01546,Mini Telefonia 261,Telefonia,1216.11
P01547,Eco Automotive 275,Automotive,1517.65
P01548,Eco Abbigliamento 789,Abbigliamento,1205.51
P01549,Air Giochi 431,Giochi,174.66
P01550,Prime Giardinaggio 180,Giardinaggio,828.16
P01551,Ultra Bellezza 735,Bellezza,441.21
P01552,Mini Sport 402,Sport,755.7
P01553,Mini Automotive 572,Automotive,1860.32
P01554,Max Arredamento 556,Arredamento,1241.98
P01555,Eco Telefonia 631,Telefonia,456.34
P01556,Pro Sport 422,Sport,792.59
P01557,Air Sport 390,Sport,481.12
P01558,Eco Telefonia 171,Telefonia,1372.6
P01559,Ultra Informatica 885,Informatica,337.37
P01560,Pro Arredamento 851,Arredamento,1618.64
P01561,Plus Automotive 243,Automotive,247.91
P01562,Pro Giochi 726,Giochi,1570.66
P01563,Air Abbigliamento 194,Abbigliamento,1228.71
P01564,Prime Automotive 493,Automotive,395.27
P01565,Pro Sport 80,Sport,572.56
P01566,Eco Giochi 126,Giochi,1445.53
P01567,Max Arredamento 486,Arredamento,641.69
P01568,Prime Automotive 277,Automotive,1795.85
P01569,Air Bellezza 762,Bellezza,1491.16
P01570,Mini Automotive 134,Automotive,1979.3
P01571,Ultra Arredamento 339,Arredamento,1687.01
P01572,Air Sport 398,Sport,1091.33
P01573,Mini Giardinaggio 552,Giardinaggio,1599.27
P01574,Plus Giardinaggio 301,Giardinaggio,1172.77
P01575,Prime Informatica 69,Informatica,129.31
P01576,Prime Elettrodomestici 761,Elettrodomestici,1904.25
P01577,Air Informatica 77,Informatica,1156.43
P01578,Air Bellezza 802,Bellezza,919.8
P01579,Mini Giardinaggio 709,Giardinaggio,886.31
P01580,Ultra Automotive 51,Automotive,1413.19
P01581,Air Sport 9,Sport,1600.52
P01582,Smart Informatica 52,Informatica,1829.48
P01583,Ultra Automotive 961,Automotive,1477.76
P01584,Max Abbigliamento 600,Abbigliamento,628.09
P01585,Eco Sport 436,Sport,748.35
P01586,Air Sport 690,Sport,1713.37
P01587,Ultra Sport 134,Sport,992.14
P01588,Air Arredamento 437,Arredamento,1273.69
P01589,Max Abbigliamento 999,Abbigliamento,1342.19
P01590,Air Giardinaggio 102,Giardinaggio,1421.19
P01591,Pro Informatica 767,Informatica,852.15
P01592,Prime Giochi 445,Giochi,1120.27
P01593,Ultra Giochi 110,Giochi,1072.78
P01594,Plus Automotive 70,Automotive,1323.85
P01595,Air Giochi 836,Giochi,532.34
P01596,Pro Giardinaggio 626,Giardinaggio,1822.86
P01597,Ultra Giochi 733,Giochi,1201.82
P01598,Lite Arredamento 517,Arredamento,1770.34
P01599,Air Automotive 169,Automotive,1196.57
P01600,Eco Giardinaggio 831,Giardinaggio,701.73
P01601,Max Sport 332,Sport,1928.91
P01602,Eco Automotive 42,Automotive,491.86
P01603,Plus Elettrodomestici 243,Elettrodomestici,1848.75
P01604,Max Abbigliamento 764,Abbigliamento,1760.18
P01605,Prime Arredamento 449,Arredamento,1852.55
P01606,Smart Giochi 981,Giochi,79.8
P01607,Max Bellezza 216,Bellezza,1347.36
P01608,Smart Arredamento 869,Arredamento,1500.04
P01609,Max Bellezza 921,Bellezza,737.63
P01610,Eco Informatica 738,Informatica,1730.62
P01611,Smart Bellezza 914,Bellezza,1082.15
P01612,Air Abbigliamento 963,Abbigliamento,635.1
P01613,Pro Giochi 758,Giochi,1476.33
P01614,Mini Sport 53,Sport,949.39
P01615,Plus Giochi 601,Giochi,1257.87
P01616,Prime Automotive 552,Automotive,308.2
P01617,Plus Giochi 413,Giochi,1465.48
P01618,Lite Bellezza 384,Bellezza,1972.81
P01619,Lite Arredamento 776,Arredamento,642.84
P01620,Max Elettrodomestici 359,Elettrodomestici,72.57
P01621,Max Bellezza 759,Bellezza,305.54
P01622,Air Automotive 180,Automotive,309.85
P01623,Prime Arredamento 85,Arredamento,1069.94
P01624,Air Bellezza 88,Bellezza,304.69
P01625,Smart Abbigliamento 782,Abbigliamento,128.0
P01626,Pro Abbigliamento 338,Abbigliamento,1295.85
P01627,Eco Arredamento 960,Arredamento,83.25
P01628,Lite Arredamento 14,Arredamento,794.85
P01629,Pro Informatica 449,Informatica,1500.22
P01630,Pro Bellezza 144,Bellezza,425.5
P01631,Ultra Arredamento 312,Arredamento,1113.65
P01632,Ultra Elettrodomestici 930,Elettrodomestici,245.5
P01633,Pro Telefonia 364,Telefonia,1405.45
P01634,Prime Automotive 174,Automotive,1456.22
P01635,Ultra Elettrodomestici 65,Elettrodomestici,774.03
P01636,Smart Automotive 878,Automotive,166.8
P01637,Plus Bellezza 397,Bellezza,1725.96
P01638,Lite Elettrodomestici 828,Elettrodomestici,698.82
P01639,Lite Bellezza 452,Bellezza,194.25
P01640,Eco Giardinaggio 271,Giardinaggio,186.33
P01641,Ultra Abbigliamento 77,Abbigliamento,37.63
P01642,Plus Informatica 735,Informatica,1066.91
P01643,Mini Elettrodomestici 98,Elettrodomestici,1711.14
P01644,Plus Sport 432,Sport,1302.66
P01645,Air Giardinaggio 892,Giardinaggio,17.66
P01646,Plus Giardinaggio 801,Giardinaggio,558.44
P01647,Max Automotive 987,Automotive,1138.12
P01648,Air Giardinaggio 245,Giardinaggio,1900.28
P01649,Pro Elettrodomestici 932,Elettrodomestici,1859.12
P01650,Air Bellezza 354,Bellezza,621.39
P01651,Eco Automotive 706,Automotive,914.03
P01652,Smart Bellezza 283,Bellezza,1558.52
P01653,Max Elettrodomestici 266,Elettrodomestici,339.31
P01654,Pro Telefonia 291,Telefonia,882.81
P01655,Plus Bellezza 254,Bellezza,1086.28
P01656,Pro Bellezza 428,Bellezza,136.43
P01657,Pro Telefonia 498,Telefonia,1705.91
P01658,Mini Automotive 355,Automotive,974.39
P01659,Ultra Sport 750,Sport,1067.08
P01660,Pro Informatica 334,Informatica,677.55
P01661,Prime Elettrodomestici 469,Elettrodomestici,1290.13
P01662,Smart Sport 50,Sport,57.54
P01663,Pro Sport 115,Sport,1592.06
P01664,Prime Giochi 637,Giochi,560.09
P01665,Smart Automotive 681,Automotive,1739.73
P01666,Air Sport 787,Sport,655.22
P01667,Eco Giardinaggio 638,Giardinaggio,278.64
P01668,Plus Automotive 3,Automotive,848.27
P01669,Plus Abbigliamento 361,Abbigliamento,562.35
P01670,Ultra Sport 395,Sport,1650.2
P01671,Eco Automotive 807,Automotive,1415.27
P01672,Max Sport 445,Sport,1911.41
P01673,Ultra Giardinaggio 633,Giardinaggio,1238.57
P01674,Ultra Sport 132,Sport,1915.45
P01675,Lite Sport 5,Sport,814.69
P01676,Eco Giochi 287,Giochi,1098.61
P01677,Mini Abbigliamento 964,Abbigliamento,1950.4
P01678,Lite Informatica 295,Informatica,1996.02
P01679,Air Elettrodomestici 25,Elettrodomestici,604.56
P01680,Pro Informatica 87,Informatica,1211.68
P01681,Plus Arredamento 348,Arredamento,969.61
P01682,Prime Informatica 180,Informatica,1927.25
P01683,Smart Elettrodomestici 348,Elettrodomestici,882.06
P01684,Max Giochi 942,Giochi,1711.82
P01685,Prime Arredamento 390,Arredamento,1230.07
P01686,Ultra Sport 790,Sport,1922.87
P01687,Plus Giardinaggio 372,Giardinaggio,1963.24
P01688,Ultra Informatica 603,Informatica,1580.14
P01689,Max Telefonia 746,Telefonia,1986.86
P01690,Mini Elettrodomestici 527,Elettrodomestici,1877.33
P01691,Pro Giochi 227,Giochi,1724.05
P01692,Smart Bellezza 179,Bellezza,836.01
P01693,Prime Automotive 470,Automotive,782.0
P01694,Air Automotive 105,Automotive,420.05
P01695,Prime Bellezza 84,Bellezza,1897.07
P01696,Plus Bellezza 527,Bellezza,23.49
P01697,Eco Arredamento 945,Arredamento,743.71
P01698,Ultra Elettrodomestici 243,Elettrodomestici,467.01
P01699,Prime Bellezza 976,Bellezza,90.58
P01700,Air Abbigliamento 893,Abbigliamento,1427.57
P01701,Prime Giardinaggio 920,Giardinaggio,954.51
P01702,Plus Giochi 435,Giochi,1287.88
P01703,Ultra Telefonia 124,Telefonia,108.27
P01704,Prime Automotive 237,Automotive,879.81
P01705,Lite Telefonia 8,Telefonia,1927.7
P01706,Pro Giardinaggio 428,Giardinaggio,34.31
P01707,Plus Abbigliamento 297,Abbigliamento,94.47
P01708,Pro Giardinaggio 967,Giardinaggio,1223.64
P01709,Lite Bellezza 305,Bellezza,573.81
P01710,Ultra Bellezza 191,Bellezza,819.91
P01711,Mini Telefonia 382,Telefonia,1393.59
P01712,Prime Elettrodomestici 502,Elettrodomestici,477.16
P01713,Plus Sport 669,Sport,1554.06
P01714,Mini Bellezza 990,Bellezza,1783.36
P01715,Ultra Giochi 147,Giochi,522.3
P01716,Air Automotive 811,Automotive,1536.04
P01717,Air Arredamento 366,Arredamento,1272.55
P01718,Lite Telefonia 279,Telefonia,660.86
P01719,Smart Bellezza 440,Bellezza,1805.65
P01720,Lite Sport 204,Sport,663.81
P01721,Lite Abbigliamento 654,Abbigliamento,1440.22
P01722,Ultra Elettrodomestici 587,Elettrodomestici,697.5
P01723,Pro Giochi 926,Giochi,1713.35
P01724,Eco Automotive 931,Automotive,702.85
P01725,Ultra Automotive 958,Automotive,1940.92
P01726,Lite Bellezza 364,Bellezza,82.52
P01727,Air Bellezza 197,Bellezza,49.48
P01728,Prime Bellezza 222,Bellezza,313.39
P01729,Prime Arredamento 947,Arredamento,1353.48
P01730,Max Informatica 288,Informatica,1590.69
P01731,Max Abbigliamento 383,Abbigliamento,182.94
P01732,Prime Informatica 118,Informatica,1826.55
P01733,Max Giardinaggio 127,Giardinaggio,1935.02
P01734,Prime Informatica 516,Informatica,1078.05
P01735,Eco Informatica 936,Informatica,189.57
P01736,Mini Automotive 168,Automotive,141.34
P01737,Prime Elettrodomestici 205,Elettrodomestici,202.78
P01738,Prime Bellezza 976,Bellezza,1702.87
P01739,Smart Bellezza 549,Bellezza,1200.41
P01740,Ultra Telefonia 1,Telefonia,363.28
P01741,Air Giardinaggio 967,Giardinaggio,1456.4
P01742,Ultra Elettrodomestici 416,Elettrodomestici,1686.79
P01743,Ultra Abbigliamento 915,Abbigliamento,210.01
P01744,Prime Arredamento 37,Arredamento,83.82
P01745,Ultra Automotive 58,Automotive,1408.18
P01746,Air Telefonia 496,Telefonia,1785.63
P01747,Ultra Arredamento 865,Arredamento,1647.67
P01748,Mini Bellezza 75,Bellezza,601.0
P01749,Prime Giochi 381,Giochi,1634.04
P01750,Pro Abbigliamento 737,Abbigliamento,192.67
P01751,Ultra Telefonia 381,Telefonia,1228.85
P01752,Smart Automotive 801,Automotive,1131.25
P01753,Prime Sport 168,Sport,693.64
P01754,Lite Giardinaggio 196,Giardinaggio,1066.67
P01755,Air Arredamento 409,Arredamento,1590.22
P01756,Air Arredamento 909,Arredamento,1231.6
P01757,Plus Bellezza 552,Bellezza,828.17
P01758,Smart Sport 763,Sport,1724.27
P01759,Prime Giochi 119,Giochi,400.38
P01760,Prime Bellezza 868,Bellezza,1097.56
P01761,Plus Giochi 267,Giochi,927.86
P01762,Ultra Telefonia 731,Telefonia,683.29
P01763,Plus Giochi 496,Giochi,992.36
P01764,Prime Sport 126,Sport,1549.76
P01765,Mini Telefonia 424,Telefonia,1069.51
P01766,Ultra Arredamento 789,Arredamento,415.9
P01767,Mini Sport 533,Sport,1127.72
P01768,Max Abbigliamento 856,Abbigliamento,1775.66
P01769,Prime Elettrodomestici 454,Elettrodomestici,417.7
P01770,Plus Automotive 217,Automotive,1636.34
P01771,Mini Sport 311,Sport,235.09
P01772,Ultra Abbigliamento 156,Abbigliamento,1207.6
P01773,Lite Elettrodomestici 245,Elettrodomestici,1160.42
P01774,Eco Sport 95,Sport,580.79
P01775,Eco Automotive 58,Automotive,626.32
P01776,Prime Informatica 306,Informatica,1607.75
P01777,Air Abbigliamento 58,Abbigliamento,581.64
P01778,Lite Giochi 571,Giochi,97.19
P01779,Ultra Telefonia 108,Telefonia,683.82
P01780,Smart Informatica 722,Informatica,958.25
P01781,Plus Automotive 409,Automotive,583.48
P01782,Prime Automotive 912,Automotive,999.49
P01783,Plus Bellezza 777,Bellezza,948.11
P01784,Smart Telefonia 203,Telefonia,675.29
P01785,Smart Giardinaggio 222,Giardinaggio,147.46
P01786,Max Elettrodomestici 337,Elettrodomestici,1977.33
P01787,Pro Telefonia 507,Telefonia,1769.35
P01788,Air Elettrodomestici 411,Elettrodomestici,760.38
P01789,Eco Giardinaggio 406,Giardinaggio,1629.69
P01790,Pro Informatica 228,Informatica,589.3
P01791,Lite Sport 680,Sport,442.48
P01792,Eco Giochi 566,Giochi,220.58
P01793,Lite Automotive 520,Automotive,1167.96
P01794,Smart Elettrodomestici 66,Elettrodomestici,1669.66
P01795,Smart Telefonia 638,Telefonia,63.12
P01796,Mini Informatica 465,Informatica,756.19
P01797,Max Abbigliamento 708,Abbigliamento,1682.4
P01798,Pro Telefonia 161,Telefonia,294.28
P01799,Air Bellezza 724,Bellezza,500.47
P01800,Lite Sport 913,Sport,1933.22
P01801,Lite Automotive 465,Automotive,310.55
P01802,Max Abbigliamento 760,Abbigliamento,744.58
P01803,Pro Giochi 772,Giochi,365.81
P01804,Eco Abbigliamento 218,Abbigliamento,231.25
P01805,Eco Sport 161,Sport,1445.13
P01806,Air Giochi 335,Giochi,1432.59
P01807,Smart Giardinaggio 592,Giardinaggio,1129.73
P01808,Mini Elettrodomestici 685,Elettrodomestici,156.23
P01809,Prime Telefonia 413,Telefonia,667.02
P01810,Mini Abbigliamento 172,Abbigliamento,123.3
P01811,Eco Abbigliamento 655,Abbigliamento,974.26
P01812,Max Bellezza 358,Bellezza,254.67
P01813,Smart Informatica 706,Informatica,1569.49
P01814,Lite Elettrodomestici 5,Elettrodomestici,855.52
P01815,Max Giochi 170,Giochi,1316.73
P01816,Prime Telefonia 337,Telefonia,947.7
P01817,Mini Sport 15,Sport,842.17
P01818,Pro Telefonia 270,Telefonia,666.39
P01819,Air Automotive 878,Automotive,1592.08
P01820,Plus Abbigliamento 939,Abbigliamento,264.09
P01821,Pro Giardinaggio 534,Giardinaggio,1003.7
P01822,Plus Giardinaggio 382,Giardinaggio,1045.87
P01823,Eco Abbigliamento 66,Abbigliamento,959.0
P01824,Smart Sport 731,Sport,1866.54
P01825,Pro Automotive 772,Automotive,1527.93
P01826,Lite Automotive 584,Automotive,66.78
P01827,Lite Giardinaggio 530,Giardinaggio,546.11
P01828,Mini Sport 63,Sport,1070.14
P01829,Air Telefonia 292,Telefonia,1469.07
P01830,Prime Informatica 979,Informatica,241.82
P01831,Prime Telefonia 741,Telefonia,575.68
P01832,Eco Giochi 736,Giochi,403.21
P01833,Max Abbigliamento 696,Abbigliamento,1786.92
P01834,Smart Giochi 108,Giochi,1229.84
P01835,Pro Giochi 605,Giochi,1334.97
P01836,Pro Abbigliamento 595,Abbigliamento,1418.07
P01837,Plus Giardinaggio 121,Giardinaggio,1480.04
P01838,Lite Bellezza 442,Bellezza,1805.22
P01839,Prime Telefonia 92,Telefonia,977.14
P01840,Mini Sport 685,Sport,1410.85
P01841,Prime Informatica 209,Informatica,997.74
P01842,Prime Giochi 651,Giochi,1935.64
P01843,Smart Informatica 758,Informatica,326.6
P01844,Prime Elettrodomestici 235,Elettrodomestici,386.28
P01845,Lite Automotive 936,Automotive,1496.64
P01846,Prime Automotive 43,Automotive,373.53
P01847,Plus Elettrodomestici 406,Elettrodomestici,592.55
P01848,Smart Informatica 343,Informatica,428.48
P01849,Plus Giardinaggio 983,Giardinaggio,672.3
P01850,Max Giardinaggio 310,Giardinaggio,859.7
P01851,Mini Sport 453,Sport,57.79
P01852,Mini Sport 425,Sport,1554.13
P01853,Prime Giardinaggio 233,Giardinaggio,841.09
P01854,Lite Arredamento 755,Arredamento,473.92
P01855,Pro Arredamento 997,Arredamento,1938.91
P01856,Max Abbigliamento 868,Abbigliamento,14.89
P01857,Lite Giochi 95,Giochi,966.36
P01858,Pro Elettrodomestici 845,Elettrodomestici,919.28
P01859,Pro Elettrodomestici 288,Elettrodomestici,803.51
P01860,Pro Giardinaggio 601,Giardinaggio,1367.51
P01861,Mini Elettrodomestici 703,Elettrodomestici,150.19
P01862,Pro Abbigliamento 93,Abbigliamento,1692.4
P01863,Prime Giardinaggio 286,Giardinaggio,1792.83
P01864,Plus Giardinaggio 137,Giardinaggio,1531.82
P01865,Smart Telefonia 380,Telefonia,1932.53
P01866,Prime Arredamento 209,Arredamento,440.93
P01867,Mini Bellezza 752,Bellezza,1208.22
P01868,Pro Giochi 810,Giochi,301.82
P01869,Air Automotive 97,Automotive,329.14
P01870,Pro Elettrodomestici 197,Elettrodomestici,1617.39
P01871,Smart Bellezza 828,Bellezza,1415.64
P01872,Air Arredamento 526,Arredamento,746.86
P01873,Mini Telefonia 458,Telefonia,1147.42
P01874,Air Automotive 997,Automotive,930.37
P01875,Ultra Arredamento 934,Arredamento,1040.56
P01876,Mini Elettrodomestici 146,Elettrodomestici,728.99
P01877,Smart Giardinaggio 399,Giardinaggio,1095.77
P01878,Pro Arredamento 220,Arredamento,464.02
P01879,Eco Informatica 82,Informatica,7.74
P01880,Lite Informatica 351,Informatica,887.5
P01881,Prime Automotive 532,Automotive,35.92
P01882,Eco Bellezza 786,Bellezza,370.93
P01883,Prime Giardinaggio 538,Giardinaggio,785.18
P01884,Max Automotive 829,Automotive,1025.66
P01885,Pro Giardinaggio 427,Giardinaggio,976.23
P01886,Plus Bellezza 448,Bellezza,836.92
P01887,Mini Bellezza 722,Bellezza,834.31
P01888,Plus Informatica 788,Informatica,1469.81
P01889,Air Giochi 143,Giochi,1544.57
P01890,Plus Arredamento 68,Arredamento,1270.03
P01891,Eco Giochi 87,Giochi,839.57
P01892,Air Sport 524,Sport,1474.84
P01893,Mini Sport 352,Sport,1600.25
P01894,Pro Telefonia 951,Telefonia,1945.77
P01895,Eco Giardinaggio 9,Giardinaggio,410.42
P01896,Eco Telefonia 285,Telefonia,152.55
P01897,Pro Bellezza 962,Bellezza,52.48
P01898,Prime Sport 457,Sport,1373.59
P01899,Smart Giochi 405,Giochi,101.48
P01900,Ultra Bellezza 623,Bellezza,1314.63
P01901,Max Giochi 800,Giochi,27.21
P01902,Plus Telefonia 431,Telefonia,188.2
P01903,Prime Arredamento 640,Arredamento,783.36
P01904,Prime Giardinaggio 134,Giardinaggio,1658.99
P01905,Eco Elettrodomestici 228,Elettrodomestici,412.64
P01906,Ultra Elettrodomestici 802,Elettrodomestici,445.13
P01907,Air Informatica 729,Informatica,1175.41
P01908,Air Giardinaggio 678,Giardinaggio,123.68
P01909,Max Automotive 837,Automotive,764.66
P01910,Max Bellezza 85,Bellezza,1423.41
P01911,Pro Arredamento 49,Arredamento,1454.94
P01912,Prime Giardinaggio 719,Giardinaggio,699.68
P01913,Lite Abbigliamento 48,Abbigliamento,1904.46
P01914,Lite Abbigliamento 14,Abbigliamento,816.66
P01915,Pro Telefonia 92,Telefonia,360.32
P01916,Air Arredamento 966,Arredamento,1646.45
P01917,Eco Automotive 132,Automotive,1326.4
P01918,Plus Telefonia 193,Telefonia,945.13
P01919,Air Giochi 637,Giochi,225.35
P01920,Mini Elettrodomestici 164,Elettrodomestici,139.21
P01921,Smart Informatica 185,Informatica,1124.71
P01922,Mini Telefonia 459,Telefonia,979.09
P01923,Eco Giochi 578,Giochi,1444.86
P01924,Ultra Telefonia 552,Telefonia,182.36
P01925,Ultra Elettrodomestici 63,Elettrodomestici,574.84
P01926,Smart Arredamento 57,Arredamento,758.84
P01927,Plus Informatica 41,Informatica,1827.96
P01928,Plus Giardinaggio 771,Giardinaggio,1152.57
P01929,Plus Telefonia 674,Telefonia,34.58
P01930,Plus Arredamento 594,Arredamento,903.13
P01931,Prime Elettrodomestici 223,Elettrodomestici,1804.16
P01932,Ultra Automotive 663,Automotive,1316.56
P01933,Prime Giochi 574,Giochi,410.28
P01934,Air Informatica 204,Informatica,685.54
P01935,Prime Giochi 135,Giochi,1390.75
P01936,Plus Informatica 200,Informatica,791.89
P01937,Max Giochi 281,Giochi,1758.94
P01938,Mini Telefonia 868,Telefonia,847.73
P01939,Prime Elettrodomestici 549,Elettrodomestici,1438.66
P01940,Ultra Sport 214,Sport,584.25
P01941,Plus Informatica 922,Informatica,933.6
P01942,Lite Arredamento 509,Arredamento,344.76
P01943,Mini Abbigliamento 403,Abbigliamento,824.75
P01944,Eco Telefonia 67,Telefonia,541.39
P01945,Prime Elettrodomestici 507,Elettrodomestici,596.49
P01946,Air Giardinaggio 288,Giardinaggio,795.61
P01947,Air Automotive 717,Automotive,657.71
P01948,Prime Informatica 175,Informatica,87.43
P01949,Pro Sport 151,Sport,489.34
P01950,Max Bellezza 532,Bellezza,1443.69
P01951,Max Sport 135,Sport,1347.87
P01952,Eco Bellezza 924,Bellezza,1427.54
P01953,Max Sport 124,Sport,339.8
P01954,Mini Bellezza 740,Bellezza,1658.54
P01955,Mini Informatica 663,Informatica,1740.79
P01956,Smart Giardinaggio 297,Giardinaggio,537.17
P01957,Max Arredamento 911,Arredamento,887.8
P01958,Pro Informatica 449,Informatica,762.78
P01959,Ultra Sport 538,Sport,957.06
P01960,Smart Bellezza 170,Bellezza,297.83
P01961,Plus Giardinaggio 790,Giardinaggio,1884.09
P01962,Plus Arredamento 32,Arredamento,405.87
P01963,Eco Sport 585,Sport,796.14
P01964,Mini Abbigliamento 293,Abbigliamento,823.04
P01965,Smart Telefonia 267,Telefonia,1370.77
P01966,Mini Bellezza 917,Bellezza,1744.45
P01967,Ultra Sport 607,Sport,622.31
P01968,Lite Giardinaggio 187,Giardinaggio,1460.4
P01969,Smart Automotive 463,Automotive,1757.01
P01970,Max Elettrodomestici 172,Elettrodomestici,1836.48
P01971,Air Bellezza 335,Bellezza,1387.72
P01972,Plus Elettrodomestici 206,Elettrodomestici,106.74
P01973,Mini Sport 502,Sport,1590.65
P01974,Smart Giardinaggio 173,Giardinaggio,967.24
P01975,Pro Bellezza 115,Bellezza,1074.54
P01976,Plus Elettrodomestici 103,Elettrodomestici,961.62
P01977,Lite Abbigliamento 363,Abbigliamento,1335.11
P01978,Prime Arredamento 63,Arredamento,748.76
P01979,Mini Bellezza 740,Bellezza,1852.21
P01980,Air Automotive 416,Automotive,1591.25
P01981,Smart Automotive 928,Automotive,588.03
P01982,Plus Automotive 358,Automotive,657.71
P01983,Air Sport 748,Sport,1699.94
P01984,Mini Giardinaggio 958,Giardinaggio,1848.35
P01985,Max Sport 535,Sport,579.55
P01986,Mini Sport 642,Sport,380.64
P01987,Max Giochi 41,Giochi,1686.57
P01988,Smart Abbigliamento 58,Abbigliamento,1888.97
P01989,Ultra Giardinaggio 966,Giardinaggio,1916.11
P01990,Lite Giochi 946,Giochi,1945.23
P01991,Smart Giochi 59,Giochi,658.79
P01992,Air Elettrodomestici 57,Elettrodomestici,1718.26
P01993,Pro Informatica 809,Informatica,1028.56
P01994,Smart Sport 487,Sport,13.24
P01995,Plus Elettrodomestici 33,Elettrodomestici,1488.56
P01996,Mini Giardinaggio 284,Giardinaggio,1712.89
P01997,Max Arredamento 440,Arredamento,1047.68
P01998,Air Giochi 122,Giochi,1088.68
P01999,Prime Arredamento 117,Arredamento,421.89
P02000,Pro Giochi 291,Giochi,1875.44
P02001,Eco Elettrodomestici 460,Elettrodomestici,1891.11
P02002,Prime Elettrodomestici 512,Elettrodomestici,1341.21
P02003,Mini Sport 630,Sport,100.81
P02004,Max Bellezza 745,Bellezza,616.79
P02005,Prime Giardinaggio 157,Giardinaggio,1431.72
P02006,Lite Telefonia 509,Telefonia,379.82
P02007,Plus Abbigliamento 541,Abbigliamento,1203.03
P02008,Plus Giochi 811,Giochi,1961.44
P02009,Eco Giardinaggio 644,Giardinaggio,1941.85
P02010,Ultra Giardinaggio 433,Giardinaggio,61.33
P02011,Prime Abbigliamento 989,Abbigliamento,1621.45
P02012,Eco Automotive 553,Automotive,1446.15
P02013,Eco Giochi 504,Giochi,1718.16
P02014,Max Telefonia 306,Telefonia,1429.17
P02015,Smart Informatica 759,Informatica,1523.11
P02016,Max Giochi 618,Giochi,1909.85
P02017,Plus Informatica 474,Informatica,399.47
P02018,Air Automotive 499,Automotive,521.07
P02019,Plus Sport 799,Sport,245.38
P02020,Prime Bellezza 956,Bellezza,1453.2
